Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Last_Activity_Date,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level,Cluster,KMeans_Raw_Cluster,Customer_Tag
45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,1.335,1144,42,1.625,0.061,2023-01-04,176,42,1144,1,1,1,111,3,Lost,1,2,Low Value
49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,1.541,1291,33,3.714,0.105,2023-01-01,179,33,1291,1,1,1,111,3,Lost,1,2,Low Value
51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,2.594,1887,20,2.333,0.0,2023-01-01,179,20,1887,1,1,1,111,3,Lost,1,2,Low Value
40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,1.405,1171,20,2.333,0.76,2023-04-03,87,20,1171,4,1,1,411,6,Potential,1,2,Low Value
40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,2.175,816,28,2.5,0.0,2023-01-03,177,28,816,1,1,1,111,3,Lost,1,2,Low Value
44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,1.376,1088,24,0.846,0.311,2023-01-07,173,24,1088,1,1,1,111,3,Lost,1,2,Low Value
51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,1.975,1330,31,0.722,0.066,2023-01-21,159,31,1330,1,1,1,111,3,Lost,1,2,Low Value
32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,2.204,1538,36,0.714,0.048,2023-02-09,140,36,1538,2,1,1,211,4,Lost,1,2,Low Value
37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,3.355,1350,24,1.182,0.113,2023-02-09,140,24,1350,2,1,1,211,4,Lost,1,2,Low Value
48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,1.524,1441,32,0.882,0.144,2023-03-15,106,32,1441,4,1,1,411,6,Potential,1,2,Low Value
42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,0.831,1201,42,0.68,0.217,2023-03-10,111,42,1201,3,1,1,311,5,Lost,1,2,Low Value
65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,1.433,1314,26,1.364,0.174,2023-02-02,147,26,1314,2,1,1,211,4,Lost,1,2,Low Value
56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,3.397,1539,17,3.25,0.0,2023-06-04,25,17,1539,4,1,1,411,6,Potential,1,2,Low Value
35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,1.163,1311,33,2.0,0.195,2023-01-02,178,33,1311,1,1,1,111,3,Lost,1,2,Low Value
57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1.19,1570,29,0.611,0.279,2023-02-21,128,29,1570,2,1,1,211,4,Lost,1,2,Low Value
